current_number,current_name,current_family,disposition,final_number,final_name,final_channel_key,old_count,final_count,count_changed,migration_note
100,Mick Blue Has the Remote,performer_spotlight,keep,100,Mick Blue Has the Remote,100|Mick Blue Has the Remote,573,573,no,"concept survives; number, name, and identity preserved"
101,Shane Diesel: HR Would Like a Word,performer_spotlight,keep,101,Shane Diesel: HR Would Like a Word,101|Shane Diesel: HR Would Like a Word,410,410,no,"concept survives; number, name, and identity preserved"
102,Keiran Lee vs. the Bedtime Schedule,performer_spotlight,keep,102,Keiran Lee vs. the Bedtime Schedule,102|Keiran Lee vs. the Bedtime Schedule,371,371,no,"concept survives; number, name, and identity preserved"
103,Manuel Ferrara: The Plot Thickens,performer_spotlight,keep,103,Manuel Ferrara: The Plot Thickens,103|Manuel Ferrara: The Plot Thickens,365,365,no,"concept survives; number, name, and identity preserved"
104,Xander Corvus & the Missing Script,performer_spotlight,keep,104,Xander Corvus & the Missing Script,104|Xander Corvus & the Missing Script,355,355,no,"concept survives; number, name, and identity preserved"
105,Bobby Beefcake: Do Not Auto-Play at Work,performer_spotlight,keep,105,Bobby Beefcake: Do Not Auto-Play at Work,105|Bobby Beefcake: Do Not Auto-Play at Work,326,326,no,"concept survives; number, name, and identity preserved"
106,Anissa Kate: Overtime Approved,performer_spotlight,keep,106,Anissa Kate: Overtime Approved,106|Anissa Kate: Overtime Approved,321,321,no,"concept survives; number, name, and identity preserved"
107,Danny Mountain Presents: Questionable Decisions,performer_spotlight,keep,107,Danny Mountain Presents: Questionable Decisions,107|Danny Mountain Presents: Questionable Decisions,288,288,no,"concept survives; number, name, and identity preserved"
108,Johnny Castle: Main Character Hours,performer_spotlight,keep,108,Johnny Castle: Main Character Hours,108|Johnny Castle: Main Character Hours,273,273,no,"concept survives; number, name, and identity preserved"
109,Riley Reid: The Binge Committee,performer_spotlight,keep,109,Riley Reid: The Binge Committee,109|Riley Reid: The Binge Committee,273,273,no,"concept survives; number, name, and identity preserved"
110,Tyler Nixon: The Skip Intro Department,performer_spotlight,keep,110,Tyler Nixon: The Skip Intro Department,110|Tyler Nixon: The Skip Intro Department,257,257,no,"concept survives; number, name, and identity preserved"
111,Ramon Nomar: No Meeting Could Replace This,performer_spotlight,keep,111,Ramon Nomar: No Meeting Could Replace This,111|Ramon Nomar: No Meeting Could Replace This,249,249,no,"concept survives; number, name, and identity preserved"
112,Ryan Madison: The Unscheduled Special,performer_spotlight,keep,112,Ryan Madison: The Unscheduled Special,112|Ryan Madison: The Unscheduled Special,243,243,no,"concept survives; number, name, and identity preserved"
113,Johnny Sins: Cancel Your Plans,performer_spotlight,keep,113,Johnny Sins: Cancel Your Plans,113|Johnny Sins: Cancel Your Plans,234,234,no,"concept survives; number, name, and identity preserved"
114,Abella Danger: The Remote Majority,performer_spotlight,keep,114,Abella Danger: The Remote Majority,114|Abella Danger: The Remote Majority,222,222,no,"concept survives; number, name, and identity preserved"
115,Christian Clay: Premium Procrastination,performer_spotlight,keep,115,Christian Clay: Premium Procrastination,115|Christian Clay: Premium Procrastination,220,220,no,"concept survives; number, name, and identity preserved"
116,Tommy Pistol: Doing the Most,performer_spotlight,keep,116,Tommy Pistol: Doing the Most,116|Tommy Pistol: Doing the Most,221,221,no,"concept survives; number, name, and identity preserved"
117,Chloe Temple: The Late Fee Channel,performer_spotlight,keep,117,Chloe Temple: The Late Fee Channel,117|Chloe Temple: The Late Fee Channel,220,220,no,"concept survives; number, name, and identity preserved"
118,James Deen: Zero Inbox Energy,performer_spotlight,keep,118,James Deen: Zero Inbox Energy,118|James Deen: Zero Inbox Energy,217,217,no,"concept survives; number, name, and identity preserved"
119,Seth Gamble: Please Remain Tuned,performer_spotlight,keep,119,Seth Gamble: Please Remain Tuned,119|Seth Gamble: Please Remain Tuned,212,212,no,"concept survives; number, name, and identity preserved"
120,Alberto Blanco: The Extended Lunch Break,performer_spotlight,keep,120,Alberto Blanco: The Extended Lunch Break,120|Alberto Blanco: The Extended Lunch Break,211,211,no,"concept survives; number, name, and identity preserved"
121,Kendra Lust: Not in the Employee Handbook,performer_spotlight,keep,121,Kendra Lust: Not in the Employee Handbook,121|Kendra Lust: Not in the Employee Handbook,203,203,no,"concept survives; number, name, and identity preserved"
122,Nicole Aniston: Plot Armor Included,performer_spotlight,keep,122,Nicole Aniston: Plot Armor Included,122|Nicole Aniston: Plot Armor Included,202,202,no,"concept survives; number, name, and identity preserved"
123,Bill Bailey: The Agenda Has Changed,performer_spotlight,keep,123,Bill Bailey: The Agenda Has Changed,123|Bill Bailey: The Agenda Has Changed,197,197,no,"concept survives; number, name, and identity preserved"
124,Luna Star: One More Episode,performer_spotlight,keep,124,Luna Star: One More Episode,124|Luna Star: One More Episode,194,194,no,"concept survives; number, name, and identity preserved"
125,Charles Dera: The Not-So-Silent Partner,performer_spotlight,keep,125,Charles Dera: The Not-So-Silent Partner,125|Charles Dera: The Not-So-Silent Partner,191,191,no,"concept survives; number, name, and identity preserved"
126,Markus Dupree: After the Group Chat,performer_spotlight,keep,126,Markus Dupree: After the Group Chat,126|Markus Dupree: After the Group Chat,187,187,no,"concept survives; number, name, and identity preserved"
127,J Mac: This Meeting Runs Late,performer_spotlight,keep,127,J Mac: This Meeting Runs Late,127|J Mac: This Meeting Runs Late,184,184,no,"concept survives; number, name, and identity preserved"
128,Owen Gray: The Recommendation Engine,performer_spotlight,keep,128,Owen Gray: The Recommendation Engine,128|Owen Gray: The Recommendation Engine,182,182,no,"concept survives; number, name, and identity preserved"
129,Scott Nails: Airplane Mode Recommended,performer_spotlight,keep,129,Scott Nails: Airplane Mode Recommended,129|Scott Nails: Airplane Mode Recommended,170,170,no,"concept survives; number, name, and identity preserved"
130,Steve Holmes: The Couch Has Questions,performer_spotlight,keep,130,Steve Holmes: The Couch Has Questions,130|Steve Holmes: The Couch Has Questions,169,169,no,"concept survives; number, name, and identity preserved"
