channel_number,channel_name,channel_family,exact_scene_count,library_share_pct,include_tag_logic,include_tag_ids_all,include_tags_all,exclude_tag_logic,exclude_tag_ids_any,exclude_tags_any,include_performer_logic,include_performer_ids_all,include_performers_all,exclude_performer_logic,exclude_performer_ids_any,exclude_performers_any,include_studio_logic,include_studio_ids_any,include_studios_any,exclude_studio_logic,exclude_studio_ids_any,exclude_studios_any,filter_expression,affinity_lift,rationale
100,Mick Blue After Dark,performer_spotlight,573,2.840,ALL,,,ANY,9320,JAV,ALL,157,Mick Blue,ANY,,,ANY,,,ANY,,,"PERFORMER=""Mick Blue""",,Performer spotlight; 573 exact scenes in the library.
101,All Night with Shane Diesel,performer_spotlight,410,2.032,ALL,,,ANY,9320,JAV,ALL,239,Shane Diesel,ANY,,,ANY,,,ANY,,,"PERFORMER=""Shane Diesel""",,Performer spotlight; 410 exact scenes in the library.
102,Keiran Lee: Uncut,performer_spotlight,371,1.839,ALL,,,ANY,9320,JAV,ALL,60,Keiran Lee,ANY,,,ANY,,,ANY,,,"PERFORMER=""Keiran Lee""",,Performer spotlight; 371 exact scenes in the library.
103,Manuel Ferrara On Demand,performer_spotlight,365,1.809,ALL,,,ANY,9320,JAV,ALL,155,Manuel Ferrara,ANY,,,ANY,,,ANY,,,"PERFORMER=""Manuel Ferrara""",,Performer spotlight; 365 exact scenes in the library.
104,Xander Corvus Confidential,performer_spotlight,355,1.759,ALL,,,ANY,9320,JAV,ALL,176,Xander Corvus,ANY,,,ANY,,,ANY,,,"PERFORMER=""Xander Corvus""",,Performer spotlight; 355 exact scenes in the library.
105,The Bobby Beefcake Channel,performer_spotlight,326,1.616,ALL,,,ANY,9320,JAV,ALL,408,Bobby Beefcake,ANY,,,ANY,,,ANY,,,"PERFORMER=""Bobby Beefcake""",,Performer spotlight; 326 exact scenes in the library.
106,Anissa Kate: Late Shift,performer_spotlight,321,1.591,ALL,,,ANY,9320,JAV,ALL,297,Anissa Kate,ANY,,,ANY,,,ANY,,,"PERFORMER=""Anissa Kate""",,Performer spotlight; 321 exact scenes in the library.
107,Danny Mountain Spotlight,performer_spotlight,288,1.427,ALL,,,ANY,9320,JAV,ALL,150,Danny Mountain,ANY,,,ANY,,,ANY,,,"PERFORMER=""Danny Mountain""",,Performer spotlight; 288 exact scenes in the library.
108,Johnny Castle After Dark,performer_spotlight,273,1.353,ALL,,,ANY,9320,JAV,ALL,119,Johnny Castle,ANY,,,ANY,,,ANY,,,"PERFORMER=""Johnny Castle""",,Performer spotlight; 273 exact scenes in the library.
109,All Night with Riley Reid,performer_spotlight,273,1.353,ALL,,,ANY,9320,JAV,ALL,156,Riley Reid,ANY,,,ANY,,,ANY,,,"PERFORMER=""Riley Reid""",,Performer spotlight; 273 exact scenes in the library.
