channel_id,channel_number,channel_name,proposed_name,category,channel_type,disposition,deployment,scene_count,library_percent,distinct_performers,distinct_studios,filter_definition,tag_ids,tag_names,performer_ids,performer_names,studio_ids,studio_names,count_changed,quality_score,reason_selected
100|Mick Blue Has the Remote,100,Mick Blue Has the Remote,Mick Blue,Performers,performer_spotlight,keep,import-ready,573,2.82,466,53,"{""include"":{""performers_all"":[""157""]},""exclude"":{""tags_any"":[""9320""]}}",,,157,Mick Blue,,,no,85,performer with 50+ post-JAV scenes (573)
101|Shane Diesel: HR Would Like a Word,101,Shane Diesel: HR Would Like a Word,Shane Diesel,Performers,performer_spotlight,keep,import-ready,410,2.02,326,12,"{""include"":{""performers_all"":[""239""]},""exclude"":{""tags_any"":[""9320""]}}",,,239,Shane Diesel,,,no,78,performer with 50+ post-JAV scenes (410)
102|Keiran Lee vs. the Bedtime Schedule,102,Keiran Lee vs. the Bedtime Schedule,Keiran Lee,Performers,performer_spotlight,keep,import-ready,371,1.83,372,19,"{""include"":{""performers_all"":[""60""]},""exclude"":{""tags_any"":[""9320""]}}",,,60,Keiran Lee,,,no,79,performer with 50+ post-JAV scenes (371)
103|Manuel Ferrara: The Plot Thickens,103,Manuel Ferrara: The Plot Thickens,Manuel Ferrara,Performers,performer_spotlight,keep,import-ready,365,1.8,287,31,"{""include"":{""performers_all"":[""155""]},""exclude"":{""tags_any"":[""9320""]}}",,,155,Manuel Ferrara,,,no,79,performer with 50+ post-JAV scenes (365)
104|Xander Corvus & the Missing Script,104,Xander Corvus & the Missing Script,Xander Corvus,Performers,performer_spotlight,keep,import-ready,355,1.75,361,73,"{""include"":{""performers_all"":[""176""]},""exclude"":{""tags_any"":[""9320""]}}",,,176,Xander Corvus,,,no,81,performer with 50+ post-JAV scenes (355)
105|Bobby Beefcake: Do Not Auto-Play at Work,105,Bobby Beefcake: Do Not Auto-Play at Work,Bobby Beefcake,Performers,performer_spotlight,keep,import-ready,326,1.61,321,5,"{""include"":{""performers_all"":[""408""]},""exclude"":{""tags_any"":[""9320""]}}",,,408,Bobby Beefcake,,,no,76,performer with 50+ post-JAV scenes (326)
106|Anissa Kate: Overtime Approved,106,Anissa Kate: Overtime Approved,Anissa Kate,Performers,performer_spotlight,keep,import-ready,321,1.58,232,146,"{""include"":{""performers_all"":[""297""]},""exclude"":{""tags_any"":[""9320""]}}",,,297,Anissa Kate,,,no,82,performer with 50+ post-JAV scenes (321)
107|Danny Mountain Presents: Questionable Decisions,107,Danny Mountain Presents: Questionable Decisions,Danny Mountain,Performers,performer_spotlight,keep,import-ready,288,1.42,262,80,"{""include"":{""performers_all"":[""150""]},""exclude"":{""tags_any"":[""9320""]}}",,,150,Danny Mountain,,,no,81,performer with 50+ post-JAV scenes (288)
108|Johnny Castle: Main Character Hours,108,Johnny Castle: Main Character Hours,Johnny Castle,Performers,performer_spotlight,keep,import-ready,273,1.34,216,62,"{""include"":{""performers_all"":[""119""]},""exclude"":{""tags_any"":[""9320""]}}",,,119,Johnny Castle,,,no,80,performer with 50+ post-JAV scenes (273)
109|Riley Reid: The Binge Committee,109,Riley Reid: The Binge Committee,Riley Reid,Performers,performer_spotlight,keep,import-ready,273,1.34,212,86,"{""include"":{""performers_all"":[""156""]},""exclude"":{""tags_any"":[""9320""]}}",,,156,Riley Reid,,,no,81,performer with 50+ post-JAV scenes (273)
110|Tyler Nixon: The Skip Intro Department,110,Tyler Nixon: The Skip Intro Department,Tyler Nixon,Performers,performer_spotlight,keep,import-ready,257,1.27,231,56,"{""include"":{""performers_all"":[""154""]},""exclude"":{""tags_any"":[""9320""]}}",,,154,Tyler Nixon,,,no,80,performer with 50+ post-JAV scenes (257)
111|Ramon Nomar: No Meeting Could Replace This,111,Ramon Nomar: No Meeting Could Replace This,Ramon Nomar,Performers,performer_spotlight,keep,import-ready,249,1.23,318,57,"{""include"":{""performers_all"":[""214""]},""exclude"":{""tags_any"":[""9320""]}}",,,214,Ramon Nomar,,,no,81,performer with 50+ post-JAV scenes (249)
112|Ryan Madison: The Unscheduled Special,112,Ryan Madison: The Unscheduled Special,Ryan Madison,Performers,performer_spotlight,keep,import-ready,243,1.2,169,7,"{""include"":{""performers_all"":[""11""]},""exclude"":{""tags_any"":[""9320""]}}",,,11,Ryan Madison,,,no,76,performer with 50+ post-JAV scenes (243)
113|Johnny Sins: Cancel Your Plans,113,Johnny Sins: Cancel Your Plans,Johnny Sins,Performers,performer_spotlight,keep,import-ready,234,1.15,267,38,"{""include"":{""performers_all"":[""139""]},""exclude"":{""tags_any"":[""9320""]}}",,,139,Johnny Sins,,,no,80,performer with 50+ post-JAV scenes (234)
114|Abella Danger: The Remote Majority,114,Abella Danger: The Remote Majority,Abella Danger,Performers,performer_spotlight,keep,import-ready,222,1.09,194,68,"{""include"":{""performers_all"":[""169""]},""exclude"":{""tags_any"":[""9320""]}}",,,169,Abella Danger,,,no,80,performer with 50+ post-JAV scenes (222)
115|Christian Clay: Premium Procrastination,115,Christian Clay: Premium Procrastination,Christian Clay,Performers,performer_spotlight,keep,import-ready,220,1.08,223,10,"{""include"":{""performers_all"":[""470""]},""exclude"":{""tags_any"":[""9320""]}}",,,470,Christian Clay,,,no,77,performer with 50+ post-JAV scenes (220)
116|Tommy Pistol: Doing the Most,116,Tommy Pistol: Doing the Most,Tommy Pistol,Performers,performer_spotlight,keep,import-ready,221,1.09,274,42,"{""include"":{""performers_all"":[""61""]},""exclude"":{""tags_any"":[""9320""]}}",,,61,Tommy Pistol,,,no,80,performer with 50+ post-JAV scenes (221)
117|Chloe Temple: The Late Fee Channel,117,Chloe Temple: The Late Fee Channel,Chloe Temple,Performers,performer_spotlight,keep,import-ready,220,1.08,199,108,"{""include"":{""performers_all"":[""811""]},""exclude"":{""tags_any"":[""9320""]}}",,,811,Chloe Temple,,,no,81,performer with 50+ post-JAV scenes (220)
118|James Deen: Zero Inbox Energy,118,James Deen: Zero Inbox Energy,James Deen,Performers,performer_spotlight,keep,import-ready,217,1.07,239,50,"{""include"":{""performers_all"":[""373""]},""exclude"":{""tags_any"":[""9320""]}}",,,373,James Deen,,,no,80,performer with 50+ post-JAV scenes (217)
119|Seth Gamble: Please Remain Tuned,119,Seth Gamble: Please Remain Tuned,Seth Gamble,Performers,performer_spotlight,keep,import-ready,212,1.04,236,62,"{""include"":{""performers_all"":[""146""]},""exclude"":{""tags_any"":[""9320""]}}",,,146,Seth Gamble,,,no,80,performer with 50+ post-JAV scenes (212)
120|Alberto Blanco: The Extended Lunch Break,120,Alberto Blanco: The Extended Lunch Break,Alberto Blanco,Performers,performer_spotlight,keep,import-ready,211,1.04,218,16,"{""include"":{""performers_all"":[""4""]},""exclude"":{""tags_any"":[""9320""]}}",,,4,Alberto Blanco,,,no,78,performer with 50+ post-JAV scenes (211)
121|Kendra Lust: Not in the Employee Handbook,121,Kendra Lust: Not in the Employee Handbook,Kendra Lust,Performers,performer_spotlight,keep,import-ready,203,1.0,157,50,"{""include"":{""performers_all"":[""574""]},""exclude"":{""tags_any"":[""9320""]}}",,,574,Kendra Lust,,,no,79,performer with 50+ post-JAV scenes (203)
122|Nicole Aniston: Plot Armor Included,122,Nicole Aniston: Plot Armor Included,Nicole Aniston,Performers,performer_spotlight,keep,import-ready,202,1.0,168,93,"{""include"":{""performers_all"":[""68""]},""exclude"":{""tags_any"":[""9320""]}}",,,68,Nicole Aniston,,,no,81,performer with 50+ post-JAV scenes (202)
123|Bill Bailey: The Agenda Has Changed,123,Bill Bailey: The Agenda Has Changed,Bill Bailey,Performers,performer_spotlight,keep,import-ready,197,0.97,185,52,"{""include"":{""performers_all"":[""232""]},""exclude"":{""tags_any"":[""9320""]}}",,,232,Bill Bailey,,,no,75,performer with 50+ post-JAV scenes (197)
124|Luna Star: One More Episode,124,Luna Star: One More Episode,Luna Star,Performers,performer_spotlight,keep,import-ready,194,0.96,138,56,"{""include"":{""performers_all"":[""521""]},""exclude"":{""tags_any"":[""9320""]}}",,,521,Luna Star,,,no,75,performer with 50+ post-JAV scenes (194)
125|Charles Dera: The Not-So-Silent Partner,125,Charles Dera: The Not-So-Silent Partner,Charles Dera,Performers,performer_spotlight,keep,import-ready,191,0.94,254,55,"{""include"":{""performers_all"":[""367""]},""exclude"":{""tags_any"":[""9320""]}}",,,367,Charles Dera,,,no,76,performer with 50+ post-JAV scenes (191)
126|Markus Dupree: After the Group Chat,126,Markus Dupree: After the Group Chat,Markus Dupree,Performers,performer_spotlight,keep,import-ready,187,0.92,218,27,"{""include"":{""performers_all"":[""21""]},""exclude"":{""tags_any"":[""9320""]}}",,,21,Markus Dupree,,,no,74,performer with 50+ post-JAV scenes (187)
127|J Mac: This Meeting Runs Late,127,J Mac: This Meeting Runs Late,J Mac,Performers,performer_spotlight,keep,import-ready,184,0.91,199,38,"{""include"":{""performers_all"":[""317""]},""exclude"":{""tags_any"":[""9320""]}}",,,317,J Mac,,,no,75,performer with 50+ post-JAV scenes (184)
128|Owen Gray: The Recommendation Engine,128,Owen Gray: The Recommendation Engine,Owen Gray,Performers,performer_spotlight,keep,import-ready,182,0.9,180,8,"{""include"":{""performers_all"":[""1219""]},""exclude"":{""tags_any"":[""9320""]}}",,,1219,Owen Gray,,,no,72,performer with 50+ post-JAV scenes (182)
129|Scott Nails: Airplane Mode Recommended,129,Scott Nails: Airplane Mode Recommended,Scott Nails,Performers,performer_spotlight,keep,import-ready,170,0.84,172,24,"{""include"":{""performers_all"":[""480""]},""exclude"":{""tags_any"":[""9320""]}}",,,480,Scott Nails,,,no,73,performer with 50+ post-JAV scenes (170)
130|Steve Holmes: The Couch Has Questions,130,Steve Holmes: The Couch Has Questions,Steve Holmes,Performers,performer_spotlight,keep,import-ready,169,0.83,234,34,"{""include"":{""performers_all"":[""186""]},""exclude"":{""tags_any"":[""9320""]}}",,,186,Steve Holmes,,,no,75,performer with 50+ post-JAV scenes (169)
131|Romi Rain: Nothing on the Calendar,131,Romi Rain: Nothing on the Calendar,Romi Rain,Performers,performer_spotlight,keep,import-ready,167,0.82,157,59,"{""include"":{""performers_all"":[""124""]},""exclude"":{""tags_any"":[""9320""]}}",,,124,Romi Rain,,,no,75,performer with 50+ post-JAV scenes (167)
132|Isiah Maxwell: The Ratings Department,132,Isiah Maxwell: The Ratings Department,Isiah Maxwell,Performers,performer_spotlight,keep,import-ready,165,0.81,235,51,"{""include"":{""performers_all"":[""228""]},""exclude"":{""tags_any"":[""9320""]}}",,,228,Isiah Maxwell,,,no,75,performer with 50+ post-JAV scenes (165)
133|Marley Brinx: Full-Time Distraction,133,Marley Brinx: Full-Time Distraction,Marley Brinx,Performers,performer_spotlight,keep,import-ready,156,0.77,80,75,"{""include"":{""performers_all"":[""656""]},""exclude"":{""tags_any"":[""9320""]}}",,,656,Marley Brinx,,,no,74,performer with 50+ post-JAV scenes (156)
134|Oliver Flynn: Nobody Read the Memo,134,Oliver Flynn: Nobody Read the Memo,Oliver Flynn,Performers,performer_spotlight,keep,import-ready,156,0.77,193,28,"{""include"":{""performers_all"":[""10""]},""exclude"":{""tags_any"":[""9320""]}}",,,10,Oliver Flynn,,,no,74,performer with 50+ post-JAV scenes (156)
