channel_number,channel_name,channel_family,exact_scene_count,library_share_pct,include_tag_logic,include_tag_ids_all,include_tags_all,exclude_tag_logic,exclude_tag_ids_any,exclude_tags_any,include_performer_logic,include_performer_ids_all,include_performers_all,exclude_performer_logic,exclude_performer_ids_any,exclude_performers_any,include_studio_logic,include_studio_ids_any,include_studios_any,exclude_studio_logic,exclude_studio_ids_any,exclude_studios_any,filter_expression,affinity_lift,rationale
100,Mick Blue Has the Remote,performer_spotlight,573,2.823,ALL,,,ANY,9320,JAV,ALL,157,Mick Blue,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Mick Blue"")",,Performer spotlight; 573 scenes under current production tag assignments. Branding is playful; filter columns define membership.
101,Shane Diesel: HR Would Like a Word,performer_spotlight,410,2.020,ALL,,,ANY,9320,JAV,ALL,239,Shane Diesel,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Shane Diesel"")",,Performer spotlight; 410 scenes under current production tag assignments. Branding is playful; filter columns define membership.
102,Keiran Lee vs. the Bedtime Schedule,performer_spotlight,371,1.828,ALL,,,ANY,9320,JAV,ALL,60,Keiran Lee,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Keiran Lee"")",,Performer spotlight; 371 scenes under current production tag assignments. Branding is playful; filter columns define membership.
103,Manuel Ferrara: The Plot Thickens,performer_spotlight,365,1.798,ALL,,,ANY,9320,JAV,ALL,155,Manuel Ferrara,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Manuel Ferrara"")",,Performer spotlight; 365 scenes under current production tag assignments. Branding is playful; filter columns define membership.
104,Xander Corvus & the Missing Script,performer_spotlight,355,1.749,ALL,,,ANY,9320,JAV,ALL,176,Xander Corvus,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Xander Corvus"")",,Performer spotlight; 355 scenes under current production tag assignments. Branding is playful; filter columns define membership.
105,Bobby Beefcake: Do Not Auto-Play at Work,performer_spotlight,326,1.606,ALL,,,ANY,9320,JAV,ALL,408,Bobby Beefcake,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Bobby Beefcake"")",,Performer spotlight; 326 scenes under current production tag assignments. Branding is playful; filter columns define membership.
106,Anissa Kate: Overtime Approved,performer_spotlight,321,1.581,ALL,,,ANY,9320,JAV,ALL,297,Anissa Kate,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Anissa Kate"")",,Performer spotlight; 321 scenes under current production tag assignments. Branding is playful; filter columns define membership.
107,Danny Mountain Presents: Questionable Decisions,performer_spotlight,288,1.419,ALL,,,ANY,9320,JAV,ALL,150,Danny Mountain,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Danny Mountain"")",,Performer spotlight; 288 scenes under current production tag assignments. Branding is playful; filter columns define membership.
108,Johnny Castle: Main Character Hours,performer_spotlight,273,1.345,ALL,,,ANY,9320,JAV,ALL,119,Johnny Castle,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Johnny Castle"")",,Performer spotlight; 273 scenes under current production tag assignments. Branding is playful; filter columns define membership.
109,Riley Reid: The Binge Committee,performer_spotlight,273,1.345,ALL,,,ANY,9320,JAV,ALL,156,Riley Reid,ANY,,,ANY,,,ANY,,,"NONE_TAGS(""JAV"") AND ALL_PERFORMERS(""Riley Reid"")",,Performer spotlight; 273 scenes under current production tag assignments. Branding is playful; filter columns define membership.
