channel_number,channel_name,performer_ids,a_scenes,b_scenes,scenes_together,mutuality,smaller_capture,passes_rule,quality_score,stable_key
578,Martin Stein & Nancy Ace,1063|1064,25,42,25,0.595,1.0,yes,51,jw:v1:perfduo:1063:1064
579,Little Caprice & Marcello Bravo,1066|1067,23,18,12,0.522,0.667,yes,44,jw:v1:perfduo:1066:1067
580,Ryan Madison & Kelly Madison,11|874,243,58,58,0.239,1.0,yes,56,jw:v1:perfduo:11:874
581,Adam Ocelot & Eva Elfie,1157|1158,13,48,13,0.271,1.0,yes,40,jw:v1:perfduo:1157:1158
582,Cory Chase & Luke Longly,12|1715,147,34,33,0.224,0.971,yes,47,jw:v1:perfduo:12:1715
583,Steve Holmes & Max Cortes,186|3647,169,15,12,0.071,0.8,yes,38,jw:v1:perfduo:186:3647
584,Steve Holmes & Silvia Rubi,186|7565,169,15,15,0.089,1.0,yes,38,jw:v1:perfduo:186:7565
585,Shane Diesel & Boz,239|6762,410,28,28,0.068,1.0,yes,46,jw:v1:perfduo:239:6762
586,Mandy Flores & David Flores,4598|4791,31,14,14,0.452,1.0,yes,40,jw:v1:perfduo:4598:4791
860,Dylan Ryan & Krysta Kaos: Scheduling Conflict,4041|5373,62,58,24,0.387,0.414,yes,42,860|Dylan Ryan & Krysta Kaos: Scheduling Conflict
861,Beretta James + Dylan Ryan: The Crossover Episode,3993|4041,35,62,24,0.387,0.686,yes,42,861|Beretta James + Dylan Ryan: The Crossover Episode
862,"Iona Grace & Sparky Sin Claire: Co-Stars, Co-Conspirators",3769|7400,67,36,23,0.343,0.639,yes,41,"862|Iona Grace & Sparky Sin Claire: Co-Stars, Co-Conspirators"
865,Iona Grace + Lilla Katt: Double Trouble Desk,3769|7596,67,41,21,0.313,0.512,yes,40,865|Iona Grace + Lilla Katt: Double Trouble Desk
868,Nerine Mechanique & Lilla Katt: Scheduling Conflict,7406|7596,44,41,19,0.432,0.463,yes,41,868|Nerine Mechanique & Lilla Katt: Scheduling Conflict
871,Krysta Kaos + Maestro Stefanos: Shared Screen Time,5373|7043,58,40,18,0.31,0.45,yes,41,871|Krysta Kaos + Maestro Stefanos: Shared Screen Time
872,Francesca Le & Mark Wood: The Joint Statement,8|387,85,25,18,0.212,0.72,yes,40,872|Francesca Le & Mark Wood: The Joint Statement
