channel_number,channel_name,tag_a,tag_b,tag_a_id,tag_b_id,namespace_a,namespace_b,same_namespace,scene_count,quality_score,lift,capture_of_smaller_parent,stable_key
354,Breast play + Living room,Living room,Breast play,8039,10210,SET,ACT,no,265,74,3.6,0.226,jw:v1:tagpair:8039:10210
355,Married IRL + 1M2F,Married IRL,1M2F,4721,7882,THEME,CAST,no,548,67,1.49,0.282,jw:v1:tagpair:4721:7882
356,Group + Orgy,Group,Orgy,6188,10214,CAST,THEME,no,213,67,9.75,0.607,jw:v1:tagpair:6188:10214
357,1M2F + Facesitting,1M2F,Facesitting,7882,10211,CAST,ACT,no,481,71,3.08,0.294,jw:v1:tagpair:7882:10211
358,Vaginal sex + Casual,Vaginal sex,Casual,7975,8062,ACT,WARD,no,1109,72,2.62,0.453,jw:v1:tagpair:7975:8062
359,Fingering + Married IRL,Married IRL,Fingering,4721,7981,THEME,ACT,no,803,66,0.96,0.208,jw:v1:tagpair:4721:7981
360,Fingering + Spanking/impact,Fingering,Spanking/impact,7981,8066,ACT,KINK,no,1628,70,1.91,0.414,jw:v1:tagpair:7981:8066
361,Kissing + 1M2F,1M2F,Kissing,7882,7984,CAST,ACT,no,672,72,2.77,0.346,jw:v1:tagpair:7882:7984
362,Kissing + Medium breasts,Kissing,Medium breasts,7984,8005,ACT,BODY,no,616,67,3.14,0.392,jw:v1:tagpair:7984:8005
363,Cumshot - internal + Taboo,Cumshot - internal,Taboo,7989,8023,ACT,THEME,no,109,67,3.22,0.268,jw:v1:tagpair:7989:8023
364,Cumshot - internal + POV,Cumshot - internal,POV,7989,8084,ACT,PROD,no,247,67,2.65,0.222,jw:v1:tagpair:7989:8084
365,Small ass + Outdoor,Small ass,Outdoor,7996,8040,BODY,SET,no,311,67,3.55,0.255,jw:v1:tagpair:7996:8040
366,Medium ass + Thong,Medium ass,Thong,7997,8055,BODY,WARD,no,505,66,3.88,0.477,jw:v1:tagpair:7997:8055
367,Athletic + Humiliation,Athletic,Humiliation,8000,8068,BODY,KINK,no,884,66,3.16,0.431,jw:v1:tagpair:8000:8068
368,Muscular + Amateur,Muscular,Amateur,8015,8086,BODY,PROD,no,329,66,3.5,0.242,jw:v1:tagpair:8015:8086
369,Average body + Outdoor,Average body,Outdoor,8019,8040,BODY,SET,no,383,66,3.73,0.314,jw:v1:tagpair:8019:8040
370,Cheating + Thong,Cheating,Thong,8020,8055,THEME,WARD,no,322,71,4.28,0.304,jw:v1:tagpair:8020:8055
371,Roleplay + Dom/Sub,Roleplay,Dom/Sub,8026,8067,THEME,KINK,no,1050,73,4.0,0.473,jw:v1:tagpair:8026:8067
372,Roleplay + Narrative,Roleplay,Narrative,8026,8085,THEME,PROD,no,1301,70,6.23,0.738,jw:v1:tagpair:8026:8085
373,Bedroom + Breast play,Bedroom,Breast play,8037,10210,SET,ACT,no,353,74,3.84,0.276,jw:v1:tagpair:8037:10210
374,Bedroom + Cheating,Cheating,Bedroom,8020,8037,THEME,SET,no,359,73,3.46,0.249,jw:v1:tagpair:8020:8037
375,Lingerie + Stockings,Lingerie,Stockings,8051,8053,WARD,WARD,yes,755,74,3.59,0.468,jw:v1:tagpair:8051:8053
380,Heels + Average body,Average body,Heels,8019,8052,BODY,WARD,no,587,67,3.34,0.344,jw:v1:tagpair:8019:8052
398,Heels + Cheating,Cheating,Heels,8020,8052,THEME,WARD,no,487,71,3.27,0.337,jw:v1:tagpair:8020:8052
405,Dress + Bedroom,Bedroom,Dress,8037,8056,SET,WARD,no,386,74,3.52,0.264,jw:v1:tagpair:8037:8056
411,Dress + Living room,Living room,Dress,8039,8056,SET,WARD,no,316,74,3.59,0.27,jw:v1:tagpair:8039:8056
413,Casual + Breast play,Casual,Breast play,8062,10210,WARD,ACT,no,576,74,3.74,0.451,jw:v1:tagpair:8062:10210
416,Casual + Dress,Dress,Casual,8056,8062,WARD,WARD,yes,711,74,3.86,0.466,jw:v1:tagpair:8056:8062
426,Spanking/impact + Athletic,Athletic,Spanking/impact,8000,8066,BODY,KINK,no,1712,67,3.19,0.618,jw:v1:tagpair:8000:8066
433,Spanking/impact + Heels,Heels,Spanking/impact,8052,8066,WARD,KINK,no,778,68,1.92,0.372,jw:v1:tagpair:8052:8066
436,Dom/Sub + Group,Group,Dom/Sub,6188,8067,CAST,KINK,no,297,67,2.15,0.235,jw:v1:tagpair:6188:8067
444,Dom/Sub + Sex toys,Sex toys,Dom/Sub,7991,8067,ACT,KINK,no,718,72,3.1,0.339,jw:v1:tagpair:7991:8067
445,Foot fetish + Bathroom,Bathroom,Foot fetish,8038,8073,SET,KINK,no,109,67,2.84,0.183,jw:v1:tagpair:8038:8073
446,Foot fetish + Barefoot,Barefoot,Foot fetish,8061,8073,WARD,KINK,no,110,69,3.59,0.232,jw:v1:tagpair:8061:8073
447,POV + Step-family,Step-family,POV,8022,8084,THEME,PROD,no,149,69,3.86,0.212,jw:v1:tagpair:8022:8084
448,Amateur + Thong,Thong,Amateur,8055,8086,WARD,PROD,no,227,68,3.2,0.214,jw:v1:tagpair:8055:8086
608,"Slim Pickings, Big Ratings: The Plot Happens Department",Slim,Narrative,7999,8085,BODY,PROD,no,877,66,5.63,0.497,"608|Slim Pickings, Big Ratings: The Plot Happens Department"
638,Lip Service: The Good Lighting Department Department,Kissing,Glamour,7984,8088,ACT,PROD,no,412,68,4.27,0.534,638|Lip Service: The Good Lighting Department Department
643,Couch Potato Confidential: A Do-It-Yourself Special,Living room,Amateur,8039,8086,SET,PROD,no,304,73,3.87,0.26,643|Couch Potato Confidential: A Do-It-Yourself Special
644,Method Acting Gone Rogue Goes The Mute Button,Roleplay,Gags/restraints,8026,8070,THEME,KINK,no,257,68,3.76,0.445,644|Method Acting Gone Rogue Goes The Mute Button
