current_number,current_name,current_family,disposition,final_name,final_channel_key,old_count,note
258,Eva Elfie: The Remote Majority,performer_spotlight,replace,Feature Length (60+ Min),jw:v1:special:feature-length,48,slot repurposed: scenes with duration >= 3600 seconds (inclusive)
259,Isis Love: Premium Procrastination,performer_spotlight,replace,2010s Vault,jw:v1:special:vault-2010s,48,slot repurposed: scenes dated 2010-01-01 through 2019-12-31
260,Michael Stefano: Doing the Most,performer_spotlight,replace,2020s Vault,jw:v1:special:vault-2020s,48,slot repurposed: scenes dated 2020-01-01 through 2026-12-31 (analysis semantics preserved; the fixed upper bound needs annual regeneration)
261,Phoenix Marie: The Late Fee Channel,performer_spotlight,replace,Fringe Studios,jw:v1:special:fringe-studios,48,"slot repurposed: ANY of 794 maximal studios/trees with fewer than 10 hierarchical post-JAV scenes (materialized snapshot, pruned to maximal nodes)"
262,Rocco Reed: Zero Inbox Energy,performer_spotlight,replace,New Arrivals (Last 180 Days),jw:v1:special:new-arrivals,48,slot repurposed: created_at within 180 calendar days of query time (dynamic; generation-time reference anchor 2026-03-12)
263,Christian Wilde: Please Remain Tuned,performer_spotlight,replace,One-Scene Performers,jw:v1:special:one-scene-performers,47,"slot repurposed: ANY of 2,013 performers with exactly 1 post-JAV scene (materialized snapshot)"
264,Juliette March: The Extended Lunch Break,performer_spotlight,replace,Prolific Performers (100+),jw:v1:special:prolific-performers,47,slot repurposed: ANY of 69 performers with 100+ post-JAV scenes (materialized snapshot)
265,Lisey Sweet: Not in the Employee Handbook,performer_spotlight,replace,Rare Performers (<5 Scenes),jw:v1:special:rare-performers,47,"slot repurposed: ANY of 3,569 performers with 1-4 post-JAV scenes (materialized snapshot; zero-post-JAV performers excluded)"
266,Jason Pierce: Plot Armor Included,performer_spotlight,replace,Married IRL,jw:v1:tag:4721,46,"slot repurposed: canonical THEME tag, 3853 scenes"
267,Kira Noir: The Agenda Has Changed,performer_spotlight,replace,23-29 (M),jw:v1:tag:7666,46,"slot repurposed: canonical AGE tag, 3558 scenes"
268,Yurizan Beltran: One More Episode,performer_spotlight,replace,30-39 (F),jw:v1:tag:7674,46,"slot repurposed: canonical AGE tag, 4668 scenes"
269,Allie Addison: The Not-So-Silent Partner,performer_spotlight,replace,40-49 (M),jw:v1:tag:7680,45,"slot repurposed: canonical AGE tag, 3718 scenes"
270,Brick Danger: After the Group Chat,performer_spotlight,replace,40-49 (F),jw:v1:tag:7681,45,"slot repurposed: canonical AGE tag, 983 scenes"
271,Dee Williams: This Meeting Runs Late,performer_spotlight,replace,50-59 (M),jw:v1:tag:7687,45,"slot repurposed: canonical AGE tag, 813 scenes"
272,Karlo Karrera: The Recommendation Engine,performer_spotlight,replace,1U,jw:v1:tag:7778,45,"slot repurposed: canonical CAST tag, 109 scenes"
273,Voodoo: Airplane Mode Recommended,performer_spotlight,replace,1M,jw:v1:tag:7855,45,"slot repurposed: canonical CAST tag, 34 scenes"
274,Bambino: The Couch Has Questions,performer_spotlight,replace,1M1F,jw:v1:tag:7876,44,"slot repurposed: canonical CAST tag, 12279 scenes"
275,Brad Knight: Nothing on the Calendar,performer_spotlight,replace,2M1F,jw:v1:tag:7889,44,"slot repurposed: canonical CAST tag, 757 scenes"
276,Charlie Dean: The Ratings Department,performer_spotlight,replace,Black Male,jw:v1:tag:7897,44,"slot repurposed: canonical DEMO tag, 1856 scenes"
277,Natalia Starr: Full-Time Distraction,performer_spotlight,replace,Latin Male,jw:v1:tag:7910,44,"slot repurposed: canonical DEMO tag, 1109 scenes"
278,Nerine Mechanique: Nobody Read the Memo,performer_spotlight,replace,Latin Female,jw:v1:tag:7911,44,"slot repurposed: canonical DEMO tag, 2682 scenes"
279,Tyler Steel: The Opening Credits Club,performer_spotlight,replace,Mixed Male,jw:v1:tag:7938,44,"slot repurposed: canonical DEMO tag, 1082 scenes"
280,Alyx Star Has the Remote,performer_spotlight,replace,Mixed Female,jw:v1:tag:7939,43,"slot repurposed: canonical DEMO tag, 723 scenes"
281,Cadence Lux: HR Would Like a Word,performer_spotlight,replace,Blowjob,jw:v1:tag:7977,43,"slot repurposed: canonical ACT tag, 12351 scenes"
282,Lutro Steel vs. the Bedtime Schedule,performer_spotlight,replace,Cunnilingus,jw:v1:tag:7978,43,"slot repurposed: canonical ACT tag, 7317 scenes"
283,Alanah Rae: The Plot Thickens,performer_spotlight,replace,Titjob,jw:v1:tag:7980,42,"slot repurposed: canonical ACT tag, 1884 scenes"
284,Ameena Green & the Missing Script,performer_spotlight,replace,Fingering,jw:v1:tag:7981,42,"slot repurposed: canonical ACT tag, 4398 scenes"
285,Gianna Dior: Do Not Auto-Play at Work,performer_spotlight,replace,Masturbation,jw:v1:tag:7982,42,"slot repurposed: canonical ACT tag, 2299 scenes"
286,Jennifer White: Overtime Approved,performer_spotlight,replace,Squirting,jw:v1:tag:7983,42,"slot repurposed: canonical ACT tag, 1074 scenes"
