channel_number,channel_name,required_tag,replaces_tag,status
490,The Fourth Wall Is on Lunch,PROD: Behind the scenes,THEME: Married IRL,"applied 2026-09-08 (canonical tags live, recounted)"
497,The Unscheduled Interview,PROD: Interview,THEME: First time,"applied 2026-09-08 (canonical tags live, recounted)"
507,Choose Your Own Remote,PROD: Interactive,KINK: Sensory deprivation,"applied 2026-09-08 (canonical tags live, recounted)"
517,Transparency International-ish,WARD: Sheer clothing,WARD: Casual,"applied 2026-09-08 (canonical tags live, recounted)"
522,"Say Cheese, Cancel Plans",PROD: Photoshoot,WARD: Jewelry,"applied 2026-09-08 (canonical tags live, recounted)"
523,Suit Yourself TV,WARD: Swimwear,WARD: Bikini,"applied 2026-09-08 (canonical tags live, recounted)"
528,Headset & Forget,PROD: VR,PROD: Reality,"applied 2026-09-08 (canonical tags live, recounted)"
529,Terms of Endearment: Unfiltered,KINK: Dirty talk,PROD: Compilation,"applied 2026-09-08 (canonical tags live, recounted)"
535,Chest a Minute,ACT: Breast play,BODY: Small breasts,"applied 2026-09-08 (canonical tags live, recounted)"
536,Reserved Seating,ACT: Facesitting,BODY: Augmented breasts,"applied 2026-09-08 (canonical tags live, recounted)"
538,The Ensemble Episode,THEME: Orgy,BODY: Medium ass,"applied 2026-09-08 (canonical tags live, recounted)"
540,Wishful Thinking Network,THEME: Impregnation fantasy,BODY: Average body,"applied 2026-09-08 (canonical tags live, recounted)"
541,Snack to the Future,KINK: Food play,BODY: Hairy,"applied 2026-09-08 (canonical tags live, recounted)"
548,Hole Lot of Questions,THEME: Glory hole,ACT: Titjob,"applied 2026-09-08 (canonical tags live, recounted)"
